,City,Country,Lat,Temp,Humidity,Wind Speed,Cloudiness
266,nuevo progreso,US,26.05,46.92,52,3.36,90
267,caravelas,BR,-17.73,82.48,100,10.11,64
268,sorong,ID,-0.86,82.48,100,6.87,24
269,cabo san lucas,MX,22.89,66.34,68,3.36,40
270,san vicente,SV,13.64,76.14,57,4.7,0
271,paamiut,GL,61.99,29.11,96,12.01,76
272,college,US,64.86,19.85,73,6.76,75
273,olinda,EC,-2.03,78.49,94,1.99,92
274,tamasopo,MX,21.92,42.56,94,3.18,92
275,male,UA,50.74,34.55,93,16.04,48
276,mae hong son,MM,19.3,87.8,35,5.82,20
277,warri,NG,5.52,75.05,94,3.51,32
278,gazli,UZ,40.13,44.9,50,14.25,12
279,portland,US,45.52,32.02,47,10.29,40
280,bobcaygeon,CA,44.54,4.28,91,5.82,75
281,nacala,MZ,-14.56,77.0,100,5.82,90
282,mackenzie,CA,55.34,12.2,51,4.7,1
283,brawley,US,32.98,63.63,68,5.82,90
284,catalina,CO,8.86,78.11,85,5.97,12
285,lasa,CY,34.92,55.92,67,5.82,20
286,tiarei,PF,-17.53,79.27,74,4.7,20
287,lunenburg,US,42.59,17.42,57,12.75,40
288,margate,AU,-43.03,51.51,58,13.87,40
289,bombarral,PT,39.27,55.42,87,21.92,75
290,yasnyy,RU,64.04,14.71,74,7.76,44
291,hue,VN,16.47,95.0,53,6.93,20
292,devonport,AU,-41.18,56.64,47,5.01,8
293,bulawayo,ZW,-20.16,67.22,95,13.8,92
294,broken hill,AU,-31.97,71.6,26,21.92,0
295,barcelos,PT,41.53,50.76,87,12.75,75
296,leningradskiy,RU,69.38,9.98,95,15.7,88
297,villa maria,CO,4.5,59.0,72,3.36,75
298,walvis bay,NA,-22.95,68.0,89,5.01,92
299,ygatimi,PY,-24.08,77.57,76,3.96,0
300,kavieng,PG,-2.57,84.73,100,5.64,32
301,arman,RU,59.7,13.85,65,5.75,20
302,hrodna,BY,53.68,32.0,94,6.71,75
303,nkhata bay,MW,-11.61,72.49,100,3.51,32
304,tanout,NE,14.97,62.23,26,9.78,0
305,cockburn town,TC,21.46,77.48,99,11.12,80
306,cam ranh,VN,11.92,91.4,55,17.22,20
307,chateaubelair,VC,13.28,77.07,74,20.8,75
308,lakes entrance,AU,-37.88,60.64,49,5.01,64
309,northam,GB,51.04,51.13,87,16.11,75
310,colchester,GB,51.89,47.34,100,16.11,75
311,guerrero negro,MX,27.97,55.07,100,5.64,24
312,port hedland,AU,-20.31,96.8,53,19.46,0
313,veraval,FR,49.65,49.69,70,14.99,0
314,xining,CN,36.62,37.21,34,3.74,68
315,soeng sang,TH,14.43,94.17,36,5.82,20
316,sainte-maxime,FR,43.31,41.18,100,2.24,12
317,cedar city,US,37.68,47.01,57,12.75,90
318,maldonado,UY,-34.91,66.2,93,6.93,40
319,flin flon,CA,54.77,3.91,61,9.33,48
320,khash,IR,28.22,55.97,37,4.29,0
321,griffith,AU,-34.29,71.42,21,17.22,0
322,lokosovo,RU,61.13,15.61,79,7.99,0
323,hualmay,PE,-11.1,66.91,92,3.18,8
324,tecoanapa,MX,16.99,77.0,88,2.39,5
325,hirara,JP,24.8,70.66,78,11.41,75
326,tautira,PF,-17.73,79.25,74,4.7,20
327,bandundu,CD,-3.32,74.15,95,5.08,0
328,yatou,CM,3.63,75.2,100,3.36,75
329,lusambo,CD,-4.97,71.86,91,2.84,8
330,shingu,JP,33.72,57.2,76,6.93,75
331,palafrugell,ES,41.92,52.41,100,5.82,0
332,seoul,KR,37.57,51.57,46,1.12,75
333,labuhan,ID,-2.54,76.99,91,3.74,80
334,los llanos de aridane,ES,28.66,60.8,72,8.05,76
335,kenai,US,60.55,28.98,74,11.41,90
336,sarangani,PH,5.4,81.62,94,15.03,0
337,itarema,BR,-2.92,73.66,99,5.64,92
338,mount darwin,ZW,-16.77,71.0,79,5.97,12
339,saint-pierre,FR,48.95,44.65,75,19.46,0
340,morondava,MG,-20.3,84.95,79,3.74,12
341,caluquembe,AO,-13.78,64.3,99,2.39,92
342,general roca,AR,-39.03,51.8,81,2.24,0
343,airai,TL,-8.93,76.0,95,1.05,56
344,sangin,AF,32.07,54.08,100,5.97,0
345,zhanaozen,KZ,43.35,43.55,70,8.88,0
346,killybegs,IE,54.63,39.0,93,11.01,88
347,andros town,BS,24.73,75.11,78,11.41,75
348,sarkand,KZ,45.41,34.28,99,3.18,32
349,aldama,MX,22.92,49.51,93,1.01,92
350,selfoss,IS,63.94,23.88,92,2.24,0
351,mushie,CD,-3.02,74.51,95,3.4,20
352,faya,SA,18.39,59.07,76,11.41,40
353,abu zabad,SD,12.35,70.91,23,15.93,0
354,mehamn,NO,71.03,21.88,92,28.86,90
355,deputatskiy,RU,69.3,-8.43,75,2.73,0
356,nioro,GM,13.79,65.87,29,8.55,32
357,nabire,ID,-3.36,74.65,96,1.83,56
358,amapa,HN,15.09,77.0,83,6.93,20
359,pisco,PE,-13.71,69.02,91,0.72,0
360,mosina,PL,52.25,36.55,74,2.24,0
361,moctezuma,MX,29.81,57.55,56,2.39,68
362,padang,ID,-0.92,84.41,100,7.43,36
363,cheyenne,US,41.14,20.7,78,5.19,75
364,husavik,CA,50.56,10.0,77,4.0,48
365,abu dhabi,AE,24.47,67.05,64,6.93,0
366,kletskaya,RU,49.31,37.99,89,5.99,76
367,bakau,GM,13.48,68.0,56,9.17,0
368,ketchikan,US,55.34,29.66,55,7.76,1
369,ahipara,NZ,-35.17,71.01,77,4.85,44
370,buala,SB,-8.15,84.55,89,6.64,56
371,kavaratti,IN,10.57,81.8,100,15.93,8
372,arlit,NE,18.74,54.62,50,3.29,0
373,nouadhibou,MR,20.93,60.8,87,14.99,75
374,ostersund,SE,63.18,-8.23,83,6.93,0
375,katsuura,JP,33.93,49.44,93,9.17,90
376,evensk,RU,61.92,13.63,100,7.99,68
377,zdunska wola,PL,51.6,37.08,93,10.29,75
378,gambela,ET,8.25,74.51,56,3.85,0
379,balkanabat,TM,39.51,48.64,74,3.06,24
380,monrovia,LR,6.33,77.0,94,3.74,75
381,tignere,CM,7.37,61.28,51,3.4,12
382,san juan de los lagos,MX,21.25,59.0,26,9.17,5
383,quatre cocos,MU,-20.21,86.45,58,8.05,40
384,goderich,CA,43.74,11.5,66,1.99,56
385,flinders,AU,-34.58,80.11,34,23.04,0
386,lincoln,GB,53.23,46.67,100,23.04,75
387,smirnykh,RU,49.74,19.03,66,11.01,36
388,shimoda,JP,34.7,58.51,72,2.24,75
389,candido mendes,BR,-1.45,79.06,100,4.41,88
390,aksarka,RU,66.56,-2.67,72,13.47,32
391,erzin,TR,36.95,53.29,81,3.36,40
392,honningsvag,NO,70.98,21.85,79,21.92,90
393,kathmandu,NP,27.71,66.2,34,4.7,20
394,russell,AR,-33.01,64.4,82,3.18,0
395,aguimes,ES,27.91,60.22,63,5.82,40
396,san nicolas,HN,14.94,64.61,85,1.83,44
397,koluszki,PL,51.74,37.29,93,10.29,75
398,kahului,US,20.89,66.83,60,17.22,40
399,wanning,AT,48.64,37.18,93,4.7,40
400,sao joao da barra,BR,-21.64,81.4,100,16.04,48
401,stromness,CA,42.87,10.38,78,8.05,90
402,tilichiki,RU,60.47,17.27,91,3.51,76
403,ixtapa,MX,20.71,70.3,100,2.06,5
404,iralaya,HN,15.0,77.98,84,9.78,88
405,nishihara,JP,35.74,57.24,66,4.7,40
406,lockhart,AU,-35.22,70.66,69,10.29,0
407,guozhen,CN,29.3,59.35,89,8.66,32
408,brae,GB,60.4,38.44,74,14.99,20
409,adrar,DZ,27.87,50.0,25,9.17,0
410,upington,ZA,-28.46,87.8,29,20.8,0
411,kirakira,SB,-10.46,84.32,100,10.78,24
412,antofagasta,CL,-23.65,66.2,77,2.24,75
413,mecca,SA,21.43,67.4,35,6.42,0
414,yumen,CN,40.29,39.95,64,4.52,32
415,dulovo,SK,48.37,32.0,66,1.01,0
416,dingle,PH,11.0,90.13,42,12.24,0
417,shimanovsk,RU,52.0,31.76,47,6.76,0
418,pangnirtung,CA,66.15,-6.4,71,5.3,44
419,taitung,TW,22.76,77.0,73,16.11,75
420,el dorado,VE,6.71,74.2,82,4.63,92
421,karolinka,CZ,49.35,34.66,83,3.36,75
422,marzuq,YE,14.4,66.68,77,3.18,0
423,zaria,NG,11.11,64.3,37,8.21,8
424,shemonaikha,KZ,50.63,24.7,100,4.18,32
425,jiuquan,CN,39.73,32.66,83,5.75,12
426,dali,CN,25.6,45.85,100,0.83,92
427,bonthe,SL,7.53,75.01,98,3.74,0
428,guamuchil,MX,25.47,57.0,88,1.39,48
429,notre-dame-de-gravenchon,FR,49.49,49.57,66,13.87,64
430,palauig,PH,15.44,86.53,63,4.41,24
431,maragogi,BR,-9.01,74.65,100,2.62,24
432,vila,IT,45.18,40.89,74,8.05,40
433,wuwei,CN,37.93,44.86,46,5.3,0
434,brigantine,US,39.41,23.45,45,16.11,1
435,wajima,JP,37.4,55.4,32,18.34,75
436,abu samrah,SY,35.3,50.03,100,4.97,80
437,mandalgovi,MN,45.76,37.39,88,8.21,0
438,ancud,CL,-41.87,55.4,100,20.8,90
439,guayaramerin,BO,-10.82,74.78,92,2.17,12
440,la asuncion,EC,-1.64,45.31,92,0.6,48
441,tabory,PL,53.89,34.5,91,2.39,36
442,ust-maya,RU,60.42,6.61,69,2.28,76
443,kirksville,US,40.19,11.26,78,6.87,1
444,saint-ambroise,FR,47.25,52.97,66,9.17,0
445,saint-louis,CH,47.59,35.53,74,3.36,0
446,hasaki,JP,35.73,56.39,82,4.7,75
447,kisangani,CD,0.52,76.85,91,2.73,0
448,sambava,MG,-14.27,81.17,100,2.39,36
449,rawson,AR,-43.3,54.8,49,9.44,8
450,bloemfontein,ZA,-29.12,71.6,68,13.87,40
451,rabo de peixe,PT,37.8,54.3,66,10.29,20
452,xuddur,SO,4.12,78.83,52,13.69,0
453,stawell,AU,-37.06,61.0,38,11.01,20
454,antananarivo,MG,-18.91,71.6,73,9.17,75
455,xuanzhou,CN,30.95,59.3,79,8.77,0
456,ajdabiya,LY,30.75,39.64,79,2.95,0
457,parrsboro,CA,45.41,15.55,85,3.62,90
458,merauke,ID,-8.49,84.05,96,4.74,32
459,potsdam,DE,52.4,35.64,87,3.36,0
460,egvekinot,RU,66.32,12.28,64,1.72,24
461,katobu,ID,-4.94,80.41,100,3.29,80
462,kutum,SD,14.2,62.95,27,11.45,0
463,bukene,TZ,-4.23,68.66,91,4.29,76
464,taganak,PH,6.08,87.24,70,10.29,75
465,kiunga,PG,-6.12,87.65,68,2.28,36
466,ucluelet,CA,48.94,29.23,84,1.95,8
467,alekseyevsk,RU,57.84,30.91,79,7.2,80
468,bilibino,RU,68.06,2.78,71,2.06,80
469,baruun-urt,MN,46.68,35.68,25,15.93,12
470,muros,ES,42.77,49.24,93,10.29,75
471,vila franca do campo,PT,37.72,54.3,66,10.29,20
472,salym,RU,60.06,13.81,68,7.54,8
473,port-gentil,GA,-0.72,80.6,94,2.24,75
474,cairns,AU,-16.92,85.48,70,5.82,75
475,santa luzia,BR,-19.77,69.1,88,8.05,0
476,yeppoon,AU,-23.13,84.2,66,8.05,76
477,robertson,ZA,-33.8,60.56,74,1.95,0
478,logansport,US,40.75,12.2,66,8.05,40
479,dourados,BR,-22.22,74.33,92,5.41,20
480,tikhvin,RU,59.64,13.67,73,8.66,0
481,honiara,SB,-9.43,83.33,77,3.29,68
482,pokhara,NP,28.21,58.45,59,2.73,12
483,ostrovnoy,RU,68.05,4.36,83,11.23,8
484,palmer,AU,-34.85,65.91,39,18.34,0
485,pirot,RS,43.16,43.74,100,2.24,20
486,letlhakeng,BW,-24.1,72.4,77,13.35,8
487,magadi,IN,12.96,88.66,29,5.82,0
488,sikonge,TZ,-5.63,71.6,83,3.96,75
489,taywarah,AF,33.35,34.55,80,2.51,12
490,zhigansk,RU,66.77,13.31,81,13.35,92
491,taltal,CL,-25.41,55.21,98,1.28,8
492,fort nelson,CA,58.81,-2.21,84,2.24,5
493,omboue,GA,-1.57,80.95,100,2.62,48
494,minsk,BY,53.9,30.2,68,11.18,75
495,mayor pablo lagerenza,PY,-19.93,78.79,83,2.62,48
496,mishkino,RU,56.22,33.8,96,17.9,75
497,teguldet,RU,57.31,21.64,68,3.96,88
498,chara,GR,39.42,50.07,66,4.7,0
499,jupiter,US,26.93,53.53,93,9.17,1
500,jiaozuo,CN,35.21,54.71,36,4.07,48
501,thunder bay,CA,48.41,-14.43,82,5.82,5
502,mogadishu,SO,2.04,86.0,62,14.99,20
503,salamiyah,SY,35.01,47.56,100,4.29,76
504,kargasok,RU,59.06,24.43,72,4.07,76
505,sao miguel do araguaia,BR,-13.28,72.04,95,2.62,44
506,khandyga,RU,62.65,-2.71,60,1.72,32
507,tyukhtet,RU,56.54,22.54,88,4.41,76
508,te anau,NZ,-45.41,65.6,41,13.02,0
509,alihe,CN,50.57,34.01,44,8.1,0
510,lengshuijiang,CN,27.66,53.27,91,5.97,92
511,berea,US,41.37,12.15,78,11.41,90
512,sur,OM,22.57,70.82,97,2.39,0
513,sao paulo de olivenca,BR,-3.38,79.46,84,3.62,8
514,point pedro,LK,9.82,86.8,83,5.19,0
515,tarrega,ES,41.65,46.18,81,1.95,75
516,savannah bight,HN,16.45,79.96,94,11.79,32
517,kimbe,PG,-5.56,84.28,95,3.74,56
518,port hueneme,US,34.15,53.42,82,15.14,90
519,pombas,BR,-15.9,69.88,94,2.84,24
520,quang ngai,VN,15.12,89.95,56,3.74,36
521,qasigiannguit,GL,68.82,10.4,55,3.18,8
522,daru,SL,7.99,70.82,91,3.74,0
523,dukat,RS,42.44,44.01,85,0.6,12
524,tura,IN,25.52,68.3,83,2.51,92
525,otorohanga,NZ,-38.18,68.36,79,5.01,12
526,hervey bay,AU,-25.3,82.42,70,12.75,40
527,trairi,BR,-3.28,76.85,100,13.8,88
528,manavalakurichi,IN,8.13,91.4,59,9.17,40
